training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
6,10,0.9510204081632652,0.9515418502202644,0.9689922480620154,0.9653465346534652,0.9765784114052952,0.9730941704035876,0.9613778705636744,0.8784046692607004,0.9240246406570842,0.9147670961347868,0.9461,motion_blur
99,10,0.8469387755102041,0.973568281938326,0.9757751937984496,0.9564356435643564,0.9083503054989815,0.9405829596412556,0.8997912317327766,0.664396887159533,0.893223819301848,0.9425173439048564,0.9005,motion_blur
4,10,0.9612244897959183,0.9797356828193832,0.9718992248062016,0.9673267326732672,0.9358452138492872,0.9473094170403588,0.9530271398747392,0.9377431906614786,0.944558521560575,0.9762140733399404,0.958,motion_blur
2,10,0.9051020408163264,0.8,0.9195736434108528,0.90990099009901,0.8462321792260692,0.8901345291479821,0.9551148225469728,0.9484435797665368,0.9168377823408624,0.8572844400396432,0.8936,motion_blur
999,10,0.976530612244898,0.9779735682819384,0.9864341085271318,0.9752475247524752,0.9521384928716904,0.9775784753363228,0.9572025052192068,0.9669260700389104,0.9661190965092402,0.9524281466798812,0.969,motion_blur
8,10,0.9928571428571428,0.970044052863436,0.9738372093023256,0.9732673267326732,0.984725050916497,0.954035874439462,0.931106471816284,0.9445525291828794,0.9589322381930184,0.954410307234886,0.964,shear
9,10,0.9928571428571428,0.9920704845814978,0.9815891472868216,0.9683168316831684,0.9755600814663952,0.9204035874439462,0.9342379958246346,0.9396887159533074,0.9414784394250514,0.9385530227948464,0.9594,shear
5,10,0.9755102040816328,0.9947136563876652,0.9689922480620154,0.9772277227722772,0.9338085539714868,0.92152466367713,0.9697286012526096,0.9426070038910506,0.9394250513347022,0.9365708622398414,0.9569,shear
10,10,0.9857142857142858,0.9938325991189428,0.9573643410852714,0.9762376237623762,0.9653767820773932,0.9573991031390134,0.9718162839248434,0.9426070038910506,0.9609856262833676,0.950445986124876,0.9665,shear
7,10,0.9877551020408164,0.9955947136563876,0.9447674418604652,0.9366336633663368,0.9786150712830958,0.968609865470852,0.9519832985386222,0.9571984435797666,0.9650924024640656,0.9593657086223984,0.9648,shear
3,10,0.9857142857142858,0.99647577092511,0.9205426356589148,0.9445544554455444,0.9725050916496945,0.9304932735426008,0.9624217118997912,0.9319066147859922,0.917864476386037,0.9514370664023786,0.952,shear
6,10,0.9806122448979592,0.9991189427312775,0.9486434108527132,0.9584158415841584,0.9786150712830958,0.9663677130044844,0.9582463465553236,0.914396887159533,0.9291581108829567,0.9494549058473736,0.9586,shear
99,10,0.973469387755102,0.9929515418502204,0.9825581395348836,0.9702970297029704,0.9368635437881874,0.9428251121076232,0.941544885177453,0.7830739299610895,0.9342915811088296,0.9781962338949456,0.944,shear
